,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Performed community service as a part of a class,56.4,57.4,55.4,55.5,60.0,58.2,66.2,58.9,54.2,59.9,60.7,58.0,65.6
Discussed religion*,29.6,28.9,30.4,25.0,34.2,30.2,34.1,38.2,28.9,36.4,32.2,28.9,38.2
Discussed politics*,29.3,26.8,32.1,25.1,29.0,29.3,29.0,28.7,31.1,36.0,22.6,18.5,30.1
"Worked on a local, state, or national political",,,,,,,,,,,,,
campaign,8.5,8.3,8.7,7.8,8.9,8.7,9.2,9.1,8.2,10.5,12.8,11.9,14.6
Skipped school/class,27.0,26.7,27.3,27.8,25.2,26.6,21.9,25.3,27.6,26.1,28.0,29.4,25.4
Publicly communicated my opinion about a cause,,,,,,,,,,,,,
"(e.g., blog, email, petition)",43.8,43.5,44.1,42.3,45.1,46.3,41.6,45.5,43.3,47.5,53.1,52.0,55.2
Helped raise money for a cause or campaign,56.7,56.8,56.7,54.0,60.6,59.5,62.5,60.9,55.6,60.8,61.9,62.4,60.9
Fell asleep in class,43.1,43.8,42.2,44.7,42.5,41.8,38.5,45.2,42.2,42.3,56.9,58.4,54.0
Failed to complete homework on time,52.5,54.5,50.3,55.1,53.6,55.2,48.9,54.3,50.3,50.0,53.2,53.5,52.6
"Used an online instructional website (e.g.,",,,,,,,,,,,,,
"Khan Academy, Coursera) as assigned for a class",46.9,47.2,46.6,46.6,48.0,48.1,48.8,47.6,46.2,48.1,58.6,58.0,59.9
"Used an online instructional website (e.g.,",,,,,,,,,,,,,
"Khan Academy, Coursera) to learn something",,,,,,,,,,,,,
on your own,72.1,73.2,71.0,74.6,71.2,72.3,66.8,72.2,71.0,70.9,89.4,89.1,89.9
*responses for “Frequently” only,,,,,,,,,,,,,
