,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Management Consultant,1.0,0.8,1.2,0.7,1.0,1.1,1.0,0.9,1.1,1.2,0.4,0.3,0.5
Real Estate Agent/Realtor/Appraiser/Developer,1.0,0.9,1.1,0.9,1.0,1.0,1.0,0.9,1.0,1.7,0.5,0.3,0.7
Sports Management,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1
Journalist,0.2,0.2,0.2,0.1,0.3,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.1
Public/Media Relations,0.3,0.4,0.3,0.4,0.5,0.4,0.3,0.6,0.3,0.3,0.5,0.6,0.3
Advertising,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
College Administrator/Staff,0.4,0.4,0.4,0.3,0.5,0.6,0.3,0.5,0.4,0.5,0.4,0.5,0.3
College Faculty,0.8,0.7,0.9,0.3,1.1,1.3,0.5,1.2,0.8,1.0,0.6,0.2,1.3
Early Childcare Provider,0.9,0.9,0.9,0.8,1.0,0.9,0.9,1.0,0.9,0.9,1.0,1.2,0.8
Elementary School Teacher,1.7,1.7,1.6,1.5,2.0,2.0,1.4,2.3,1.6,1.6,1.8,1.8,1.7
Secondary School Teacher,1.9,1.9,1.8,1.7,2.2,2.2,1.6,2.3,1.8,2.0,2.0,2.1,1.9
Librarian,0.9,0.7,1.1,0.5,0.8,1.0,0.8,0.7,1.1,1.3,0.2,0.3,0.1
Teacher’s Assistant/Paraprofessional,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1
K-12 Administrator,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.8,0.5,0.4,0.7,0.8,0.6
Other K-12 Professional,0.4,0.5,0.4,0.4,0.5,0.6,0.4,0.4,0.4,0.4,0.5,0.6,0.3
Military,2.3,2.6,1.9,3.1,2.1,1.9,1.4,2.6,2.1,1.5,4.2,3.9,4.6
Federal/State/Local Government Official,2.5,2.8,2.3,2.7,2.9,2.9,2.5,3.0,2.3,2.2,2.9,3.2,2.5
"Protective Services (e.g., Homeland Security,",,,,,,,,,,,,,
"Law Enforcement, Firefighter)",2.7,3.3,2.1,3.6,3.0,3.0,3.7,2.6,2.1,2.1,3.4,3.2,3.9
Postal Worker,0.9,0.9,0.8,1.0,0.8,1.0,0.7,0.8,0.8,0.9,1.2,1.2,1.2
Dietician/Nutritionist,1.6,1.8,1.4,1.7,1.8,1.8,1.5,1.9,1.5,1.4,2.4,2.5,2.3
