,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Jewish,3.3,1.9,4.7,1.8,2.2,3.5,0.7,1.5,4.4,6.1,0.1,0.1,0.1
LDS (Mormon),0.3,0.3,0.4,0.4,0.2,0.3,0.1,0.2,0.4,0.2,0.1,0.1,0.1
Lutheran,3.5,3.1,4.0,2.1,4.4,3.2,3.4,6.1,4.3,2.8,0.3,0.2,0.3
Methodist,3.8,3.9,3.6,3.0,5.0,4.3,2.1,7.2,3.6,3.8,3.8,3.1,5.0
Muslim,1.9,1.3,2.6,1.4,1.0,1.3,1.3,0.6,2.5,3.0,1.3,1.0,1.9
Presbyterian,3.2,2.7,3.6,2.1,3.5,3.4,1.5,4.6,3.5,4.2,0.8,0.8,0.8
Quaker,0.2,0.2,0.2,0.1,0.3,0.3,0.1,0.3,0.1,0.2,0.0,0.1,0.0
Roman Catholic,30.8,30.8,30.8,32.6,28.3,28.0,54.6,15.7,30.1,33.6,4.0,1.9,7.6
Seventh-day Adventist,0.4,0.5,0.4,0.6,0.4,0.4,0.4,0.3,0.4,0.3,0.8,1.0,0.5
United Church of Christ/Congregational,0.8,0.8,0.7,0.7,1.0,1.2,0.7,0.9,0.8,0.7,0.7,0.8,0.6
Other Christian,13.6,15.0,12.1,14.5,15.5,13.0,10.2,20.8,12.4,10.6,15.8,16.4,14.7
Other Religion,2.5,2.6,2.3,2.8,2.3,2.6,1.7,2.4,2.4,1.8,2.0,2.1,1.9
None,13.8,12.2,15.5,12.8,11.3,15.0,7.5,9.4,15.9,14.0,5.2,5.5,4.8
Highest academic degree planned,,,,,,,,,,,,,
None,0.5,0.6,0.3,0.6,0.6,0.5,0.4,0.8,0.3,0.4,1.7,1.7,1.5
Vocational certificate,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.1
Associate (A.A. or equivalent),0.5,0.7,0.3,0.6,0.7,0.5,0.6,0.9,0.3,0.2,1.0,1.2,0.7
"Bachelor’s degree (B.A., B.S., etc.)",22.1,25.0,19.0,26.0,23.7,21.0,20.4,28.1,19.8,15.9,17.0,19.1,13.2
"Master’s degree (M.A., M.S., etc.)",43.1,44.0,42.2,45.8,41.6,42.2,45.1,39.2,42.0,42.9,36.3,39.9,29.8
Ph.D. or Ed.D.,18.9,18.2,19.6,17.8,18.7,20.2,17.0,17.9,19.8,18.9,27.5,25.3,31.3
"M.D., D.O., D.D.S., D.V.M.",10.2,7.2,13.3,5.8,9.1,9.2,11.2,8.0,13.2,14.0,9.7,7.1,14.3
J.D. (Law),3.5,3.0,4.2,2.2,4.0,4.6,4.0,3.3,3.7,6.1,5.0,3.8,7.2
B.D. or M.DIV. (Divinity),0.2,0.2,0.1,0.2,0.3,0.3,0.2,0.4,0.1,0.1,0.6,0.5,0.8
Other,1.0,1.0,0.9,0.8,1.2,1.3,1.2,1.2,0.8,1.5,1.1,1.1,1.0
