ACE,Institution,City,State,Stratification Cell,Included in National Norms
5455,Dominican College of Blauvelt,Orangeburg,NY,11,yes
687,Dominican University,River Forest,IL,17,yes
1646,Drew University,Madison,NJ,23,no
2251,Drexel University,Philadelphia,PA,5,no
753,Earlham College,Richmond,IN,23,yes
2786,Eastern Mennonite University,Harrisonburg,VA,22,no
464,Eckerd College,Saint Petersburg,FL,23,yes
1157,Emerson College,Boston,MA,14,no
1158,Emmanuel College,Boston,MA,17,yes
2787,Emory & Henry College,Emory,VA,20,yes
511,Emory University,Atlanta,GA,6,no
362,Fairfield University,Fairfield,CT,18,yes
6529,Fairleigh Dickinson University-College at Florham,Madison,NJ,12,yes
2788,Ferrum College,Ferrum,VA,20,yes
8206,Florida International University,Miami,FL,1,no
461,Florida Memorial University,Miami Gardens,FL,38,no
463,Florida State University,Tallahassee,FL,3,no
1773,Fordham University,Bronx,NY,5,yes
897,Friends University,Wichita,KS,12,yes
2446,Furman University,Greenville,SC,14,yes
515,Georgia Institute of Technology-Main Campus,Atlanta,GA,3,yes
2263,Gettysburg College,Gettysburg,PA,14,yes
2847,Gonzaga University,Spokane,WA,18,no
1164,Gordon College,Wenham,MA,23,no
758,Goshen College,Goshen,IN,22,yes
5199,Grace College and Theological Seminary,Winona Lake,IN,21,yes
834,Grinnell College,Grinnell,IA,14,yes
1953,Guilford College,Greensboro,NC,22,yes
1338,Gustavus Adolphus College,Saint Peter,MN,23,yes
1776,Hamilton College,Clinton,NY,14,yes
9107,Harrisburg University of Science and Technology,Harrisburg,PA,11,no
1777,Hartwick College,Oneonta,NY,13,yes
180,Harvey Mudd College,Claremont,CA,14,yes
2267,Haverford College,Haverford,PA,14,yes
2072,Hiram College,Hiram,OH,12,yes
1755,Hobart William Smith Colleges,Geneva,NY,14,yes
2794,Hollins University,Roanoke,VA,13,yes
152,Holy Names University,Oakland,CA,16,yes
1084,Hood College,Frederick,MD,13,yes
1269,Hope College,Holland,MI,23,no
424,Howard University,Washington,DC,41,no
8,Huntingdon College,Montgomery,AL,20,yes
5254,Husson University,Bangor,ME,11,no
642,Illinois College,Jacksonville,IL,22,yes
7813,Institute of American Indian and Alaska Native Culture,Santa Fe,NM,7,no
1785,Iona College,New Rochelle,NY,16,yes
2073,John Carroll University,University Heights,OH,18,yes
1956,Johnson C. Smith University,Charlotte,NC,35,yes
1272,Kalamazoo College,Kalamazoo,MI,14,no
1474,Kansas City Art Institute,Kansas City,MO,13,no
2075,Kenyon College,Gambier,OH,14,no
652,Knox College,Galesburg,IL,14,yes
5341,Kuyper College,Grand Rapids,MI,22,yes
523,LaGrange College,Lagrange,GA,21,yes
653,Lake Forest College,Lake Forest,IL,14,yes
2947,Lawrence University,Appleton,WI,14,yes
1794,Le Moyne College,Syracuse,NY,17,yes
2277,Lebanon Valley College,Annville,PA,22,yes
2194,Lewis & Clark College,Portland,OR,14,yes
655,Lewis University,Romeoville,IL,17,yes
4715,Life Pacific College,San Dimas,CA,20,no
2539,Lincoln Memorial University,Harrogate,TN,13,yes
2279,Lincoln University of Pennsylvania,Lincoln University,PA,34,yes
1959,Livingstone College,Salisbury,NC,38,yes
2796,Longwood University,Farmville,VA,8,yes
1961,Louisburg College,Louisburg,NC,no,
657,Loyola University Chicago,Chicago,IL,5,yes
2283,Lycoming College,Williamsport,PA,22,yes
1344,Macalester College,Saint Paul,MN,23,yes
1796,Manhattan College,Riverdale,NY,18,yes
1275,Marygrove College,Detroit,MI,16,no
7314,Marymount California University,Ranchos Palos Verde,CA,16,yes
1496,Maryville University of Saint Louis,Saint Louis,MO,4,yes
1175,Massachusetts College of Art and Design,Boston,MA,9,no
913,McPherson College,McPherson,KS,20,no
2079,Miami University-Oxford,Oxford,OH,3,yes
2633,Midwestern State University,Wichita Falls,TX,2,yes
2331,Millersville University of Pennsylvania,Millersville,PA,9,yes
199,Mills College,Oakland,CA,13,yes
1412,Millsaps College,Jackson,MS,23,yes
5373,Mississippi Valley State University,Itta Bena,MS,34,no
5475,Molloy College,Rockville Centre,NY,17,yes
667,Monmouth College,Monmouth,IL,21,yes
4660,Montserrat College of Art,Beverly,MA,12,yes
2287,Moore College of Art and Design,Philadelphia,PA,11,yes
2289,Moravian College and Moravian Theological Seminary,Bethlehem,PA,22,yes
5796,Morehouse College,Atlanta,GA,35,yes
1096,Mount St Mary’s University,Emmitsburg,MD,17,yes
204,Mt San Antonio College,Walnut,CA,no,
2293,Muhlenberg College,Allentown,PA,23,yes
1809,Nazareth College,Rochester,NY,13,no
471,New College of Florida,Sarasota,FL,9,yes
1927,North Carolina A & T State University,Greensboro,NC,40,no
1965,North Carolina Central University,Durham,NC,34,yes
674,North Central College,Naperville,IL,23,no
2454,North Greenville University,Tigerville,SC,22,no
2157,Northeastern State University,Tahlequah,OK,8,yes
1184,Northeastern University,Boston,MA,6,yes
55,Northern Arizona University,Flagstaff,AZ,1,no
2963,Northland College,Ashland,WI,23,yes
848,Northwestern College,Orange City,IA,23,yes
2083,Notre Dame College,Cleveland,OH,16,no
1078,Notre Dame of Maryland University,Baltimore,MD,17,yes
1820,Nyack College,Nyack,NY,20,no
1286,Oakland University,Rochester Hills,MI,1,yes
207,Occidental College,Los Angeles,CA,14,yes
2163,Oklahoma City University,Oklahoma City,OK,23,yes
5566,Oklahoma Wesleyan University,Bartlesville,OK,21,yes
190,Otis College of Art and Design,Los Angeles,CA,12,no
4892,Oxford College of Emory University,Oxford,GA,no,
6615,Palm Beach Atlantic University,West Palm Beach,FL,22,no
2306,Philadelphia University,Philadelphia,PA,13,yes
218,Point Loma Nazarene University,San Diego,CA,23,no
683,Principia College,Elsah,IL,13,yes
2409,Providence College,Providence,RI,18,yes
373,Quinnipiac University,Hamden,CT,13,no
2825,Radford University,Radford,VA,8,no
7241,Ramapo College of New Jersey,Mahwah,NJ,9,yes
2805,Randolph College,Lynchburg,VA,22,yes
2209,Reed College,Portland,OR,14,yes
1187,Regis College,Weston,MA,16,yes
2410,Rhode Island College,Providence,RI,7,yes
2413,Rhode Island School of Design,Providence,RI,14,yes
8430,Ringling College of Art and Design,Sarasota,FL,15,no
685,Rockford University,Rockford,IL,12,yes
2309,Rosemont College,Rosemont,PA,16,yes
1672,Rutgers University-Camden,Camden,NJ,9,no
1668,Rutgers University-New Brunswick,New Brunswick,NJ,3,no
1673,Rutgers University-Newark,Newark,NJ,1,no
5082,Sacred Heart University,Fairfield,CT,18,no
976,Saint Catharine College,Saint Catharine,KY,19,yes
2313,Saint Francis University,Loretto,PA,17,yes
1843,Saint Joseph’s College-New York,Brooklyn,NY,12,yes
781,Saint Mary’s College,Notre Dame,IN,18,yes
1354,Saint Mary’s University of Minnesota,Winona,MN,4,yes
2974,Saint Norbert College,De Pere,WI,18,yes
137,San Francisco Art Institute,San Francisco,CA,12,no
248,San Francisco Conservatory of Music,San Francisco,CA,13,yes
535,Savannah State University,Savannah,GA,34,no
693,School of the Art Institute of Chicago,Chicago,IL,13,no
7449,School of Visual Arts,New York,NY,12,no
246,Scripps College,Claremont,CA,14,yes
2858,Seattle University,Seattle,WA,18,no
1676,Seton Hall University,South Orange,NJ,4,yes
2317,Seton Hill University,Greensburg,PA,17,yes
2564,Sewanee-The University of the South,Sewanee,TN,23,yes
1188,Simmons College,Boston,MA,13,yes
5052,Simpson University,Redding,CA,22,yes
1849,Skidmore College,Saratoga Springs,NY,14,no
170,Sonoma State University,Rohnert Park,CA,8,yes
1499,Southeast Missouri State University,Cape Girardeau,MO,9,no
2553,Southern Adventist University,Collegedale,TN,21,no
700,Southern Illinois University Edwardsville,Edwardsville,IL,2,yes
2657,Southern Methodist University,Dallas,TX,5,no
5415,Southern New Hampshire University,Manchester,NH,11,no
2664,Southwestern University,Georgetown,TX,23,yes
502,Spelman College,Atlanta,GA,35,yes
1191,Springfield College,Springfield,MA,12,yes
1329,St. Catherine University,Saint Paul,MN,18,yes
1846,St. Lawrence University,Canton,NY,14,yes
1949,St. Andrews University,Laurinburg,NC,20,yes
1839,St. Francis College,Brooklyn Heights,NY,11,no
1842,St. John’s University-New York,Queens,NY,4,yes
2648,St. Mary’s University,San Antonio,TX,17,yes
5498,St. Thomas Aquinas College,Sparkill,NY,11,yes
25,Stillman College,Tuscaloosa,AL,38,no
1203,Stonehill College,Easton,MA,18,yes
1885,Stony Brook University,Stony Brook,NY,3,no
1204,Suffolk University,Boston,MA,12,yes
7028,SUNY at Purchase College,Purchase,NY,9,no
1878,SUNY College at Potsdam,Potsdam,NY,9,yes
4894,SUNY Institute of Technology at Utica-Rome,Utica,NY,9,yes
2335,Susquehanna University,Selinsgrove,PA,23,yes
2814,Sweet Briar College,Sweet Briar,VA,12,yes
783,Taylor University,Upland,IN,23,no
2675,Texas Christian University,Fort Worth,TX,5,yes
2679,Texas Southern University,Houston,TX,40,no
1753,The College of New Rochelle,New Rochelle,NY,11,no
2063,The College of Wooster,Wooster,OH,14,yes
5742,The Master’s College and Seminary,Santa Clarita,CA,22,yes
7026,The Richard Stockton College of New Jersey,Galloway,NJ,9,yes
476,The University of Tampa,Tampa,FL,12,yes
7256,Touro College,New York,NY,12,no
1092,Towson University,Towson,MD,9,yes
981,Transylvania University,Lexington,KY,23,yes
435,Trinity Washington University,Washington,DC,16,yes
1024,Tulane University of Louisiana,New Orleans,LA,6,yes
2562,Union University,Jackson,TN,23,no
341,United States Air Force Academy,USAFA,CO,9,yes
380,United States Coast Guard Academy,New London,CT,9,yes
1100,United States Naval Academy,Annapolis,MD,9,yes
76,University of Arkansas at Pine Bluff,Pine Bluff,AR,34,no
9120,University of Baltimore,Baltimore,MD,8,no
382,University of Bridgeport,Bridgeport,CT,11,no
262,University of California-Riverside,Riverside,CA,1,yes
260,University of California-San Diego,La Jolla,CA,3,yes
1276,University of Detroit Mercy,Detroit,MI,18,no
9109,University of Hawaii-West Oahu,Kapolei,HI,1,yes
584,University of Idaho,Moscow,ID,2,yes
184,University of La Verne,La Verne,CA,4,no
1207,University of Massachusetts Amherst,Amherst,MA,2,yes
5773,University of Massachusetts-Dartmouth,North Dartmouth,MA,9,yes
475,University of Miami,Coral Gables,FL,5,no
1294,University of Michigan-Ann Arbor,Ann Arbor,MI,3,yes
1298,University of Michigan-Dearborn,Dearborn,MI,9,yes
6400,University of Michigan-Flint,Flint,MI,9,no
2,University of Montevallo,Montevallo,AL,9,yes
1584,University of Nebraska at Omaha,Omaha,NE,1,yes
1984,University of North Carolina at Chapel Hill,Chapel Hill,NC,3,no
2212,University of Oregon,Eugene,OR,2,yes
6232,University of Pittsburgh-Bradford,Bradford,PA,8,yes
2342,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,3,yes
2213,University of Portland,Portland,OR,18,yes
265,University of Redlands,Redlands,CA,13,yes
2816,University of Richmond,University of Richmond,VA,14,no
374,University of Saint Joseph,West Hartford,CT,17,no
2458,University of South Carolina-Columbia,Columbia,SC,3,no
9119,University of South Florida Sarasota-Manatee,Sarasota,FL,9,yes
268,University of Southern California,Los Angeles,CA,6,yes
1333,University of St. Thomas,Saint Paul,MN,5,no
157,University of the Pacific,Stockton,CA,4,yes
2302,University of the Sciences,Philadelphia,PA,14,yes
5735,University of the Virgin Islands,7,no,,
2731,University of Utah,Salt Lake City,UT,2,no
9121,University of Washington-Tacoma Campus,Tacoma,WA,9,no
2029,Valley City State University,Valley City,ND,7,yes
787,Valparaiso University,Valparaiso,IN,23,yes
2567,Vanderbilt University,Nashville,TN,6,yes
5053,Vanguard University of Southern California,Costa Mesa,CA,20,no
1891,Vassar College,Poughkeepsie,NY,14,yes
5517,Villa Maria College,Buffalo,NY,16,yes
2828,Virginia Union University,Richmond,VA,38,no
2459,Voorhees College,Denmark,SC,38,yes
789,Wabash College,Crawfordsville,IN,13,yes
1987,Wake Forest University,Winston Salem,NC,5,yes
5562,Walsh University,North Canton,OH,17,yes
2214,Warner Pacific College,Portland,OR,20,yes
1988,Warren Wilson College,Swannanoa,NC,23,yes
858,Wartburg College,Waverly,IA,23,yes
2829,Washington and Lee University,Lexington,VA,14,no
1588,Wayne State College,Wayne,NE,8,no
1295,Wayne State University,Detroit,MI,1,yes
2349,Waynesburg University,Waynesburg,PA,21,yes
1895,Wells College,Aurora,NY,12,yes
2696,West Texas A & M University,Canyon,TX,8,no
5035,Western New England University,Springfield,MA,12,yes
274,Westmont College,Santa Barbara,CA,14,no
2867,Whitman College,Walla Walla,WA,14,yes
2868,Whitworth University,Spokane,WA,23,no
2354,Wilkes University,Wilkes-Barre,PA,12,yes
2215,Willamette University,Salem,OR,14,yes
105,Williams Baptist College,Walnut Ridge,AR,21,yes
2355,Wilson College,Chambersburg,PA,20,yes
1992,Wingate University,Wingate,NC,12,yes
1993,Winston-Salem State University,Winston-Salem,NC,34,yes
2113,Wittenberg University,Springfield,OH,23,yes
2463,Wofford College,Spartanburg,SC,23,yes
1026,Xavier University of Louisiana,New Orleans,LA,39,yes
